"cohort","country","X1_sand.size","X2_sand.rate","X3_sand.total.duration..years.","X4_sand.share.of.lifespan....","X5_gsand.size","X6_gsand.rate","X7_gsand.total.duration..years.","X8_gsand.share.of.lifespan...."
1970,"CRI",54.7,2.8,3.9,4.7,57.1,2.5,5.3,6.3
2005,"CRI",41,1.5,2.5,2.9,49.1,1.7,4.8,5.4
2040,"CRI",43.6,1.7,2.7,3.1,53.3,1.8,5,5.5
1970,"CUB",46.8,2.2,3.1,3.9,45.4,1.8,4,5
2005,"CUB",42,1.6,2.6,3,48,1.6,4.5,5.2
2040,"CUB",41.8,1.5,2.6,3,52.3,1.9,5,5.8
1970,"CUW",57.5,2.9,4.2,5.1,49.1,1.9,4.4,5.3
2005,"CUW",54.2,2.1,3.6,4.2,49.5,1.7,4.3,5
2040,"CUW",50.4,1.9,3.2,3.7,48.1,1.5,4.3,4.9
1970,"CYP",55.4,2.6,3.9,4.6,48.3,1.7,4,4.7
2005,"CYP",45.7,1.8,3,3.4,41.1,1.2,3.3,3.8
2040,"CYP",44.6,1.6,2.8,3.1,48.8,1.5,4.1,4.6
1970,"CZE",50.7,2,3.3,4,49.1,1.8,4.2,5.1
2005,"CZE",48.2,2.1,3.3,3.7,41,1.4,3.3,3.8
2040,"CZE",26.5,2,1.8,2,22.8,1.3,1.8,2.1
1970,"DEU",45.2,2.1,3,3.6,37.8,1.4,3,3.6
2005,"DEU",56.1,2.3,4,4.4,39.4,1.1,2.8,3.2
2040,"DEU",58.2,2.5,4.1,4.6,36.2,0.9,2.5,2.8
1970,"DJI",63.4,5.6,5.9,9.4,34.3,1.5,2.3,3.6
2005,"DJI",58,3.6,4.8,6.5,27.1,0.8,1.7,2.3
2040,"DJI",58.8,3.1,4.6,5.7,31,0.9,2,2.5
1970,"DNK",54.4,2.4,3.8,4.6,46.2,1.5,3.7,4.4
2005,"DNK",54.1,2.2,3.8,4.4,44.5,1.3,3.3,3.9
2040,"DNK",50.3,2,3.3,3.7,47.4,1.5,4,4.4
1970,"DOM",56.6,3.2,4.2,5.5,53.3,2.5,4.8,6.4
2005,"DOM",49.4,2,3.2,3.9,53.3,2.2,5.1,6.2
2040,"DOM",42.8,1.6,2.7,3.1,52.6,2,5.1,6
1970,"DZA",58.5,4.2,5.1,7,45.4,2.1,3.6,5
2005,"DZA",66.2,3.2,5.3,6.3,52.4,1.6,4.2,4.9
2040,"DZA",55.2,2.4,4,4.7,48.6,1.6,4.1,4.7
